,Order_Number,Order_Date,Customer_Names,Channel,Product_Name,Order_Quantity,Unit_Price,Line_Total,Total_Unit_Cost,State_Code,County,State,Region,Latitude,Longitude,2017_Budgets
0,SO - 000225,2014-01-01,Rhynoodle Ltd,Wholesale,Product 27,6,2499.1,14994.599999999999,1824.3429999999998,GA,Chatham County,Georgia,South,32.08354,-81.09983,
1,SO - 0003378,2014-01-01,Thoughtmix Ltd,Distributor,Product 20,11,2351.7000000000003,25868.700000000004,1269.9180000000001,IN,Johnson County,Indiana,Midwest,39.61366,-86.10665,
2,SO - 0005126,2014-01-01,Amerisourc Corp,Wholesale,Product 26,6,978.2,5869.200000000001,684.74,CA,Alameda County,California,West,37.66243,-121.87468,
3,SO - 0005614,2014-01-01,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.100000000002,1028.852,IN,Monroe County,Indiana,Midwest,39.16533,-86.52639,
4,SO - 0005781,2014-01-01,Deseret Group,Wholesale,Product 8,8,2291.4,18331.2,1260.2700000000002,CT,Hartford County,Connecticut,Northeast,41.77524,-72.52443,
5,SO - 0010394,2014-01-01,Zoovu Corp,Export,Product 23,11,5219.3,57412.3,4332.019,MN,Hennepin County,Minnesota,Midwest,44.9133,-93.50329,
6,SO - 0008865,2014-01-01,Kare Corp,Wholesale,Product 1,7,2874.3,20120.100000000002,1667.094,MA,Norfolk County,Massachusetts,Northeast,42.32385,-71.142,
7,SO - 0009909,2014-01-01,State Ltd,Wholesale,Product 25,10,1045.2,10452.0,679.3800000000001,CA,Los Angeles County,California,West,34.05529,-117.75228,
8,SO - 0001912,2014-01-01,Lazzy Group,Wholesale,Product 13,5,3852.5,19262.5,2966.425,UT,Salt Lake County,Utah,West,40.56217,-111.92966,
9,SO - 0002683,2014-01-01,Zooveo Company,Export,Product 14,12,2914.5,34974.0,1311.525,NC,Alamance County/Guilford County,North Carolina,South,36.07613,-79.4683,
10,SO - 0004272,2014-01-01,Nexus Group,Wholesale,Product 26,11,2257.9,24836.9,1196.6870000000001,IN,Monroe County,Indiana,Midwest,39.11904,-86.51979,
11,SO - 0004580,2014-01-01,Jayo Company,Export,Product 4,5,1232.8,6164.0,628.728,IL,Kendall County/Kane County/Will County/DuPage County,Illinois,Midwest,41.76346,-88.2901,
12,SO - 0004646,2014-01-01,Jabbercube Corp,Wholesale,Product 25,5,3859.2000000000003,19296.0,2855.808,CA,Riverside County,California,West,33.72058,-116.21556,
13,SO - 0007608,2014-01-01,Eire Corp,Distributor,Product 15,10,1983.2,19832.0,1606.392,OH,Montgomery County,Ohio,Midwest,39.75895,-84.19161,
14,SO - 0007951,2014-01-01,Muxo Group,Distributor,Product 3,7,167.5,1172.5,135.675,IL,Kane County,Illinois,Midwest,41.94151,-88.321,
15,SO - 0001068,2014-01-01,Fatz Group,Export,Product 10,11,924.6,10170.6,656.466,NY,Suffolk County,New York,Northeast,40.71258,-73.19552,
16,SO - 0002010,2014-01-01,WOCKHARDT Group,Distributor,Product 11,11,1045.2,11497.2,543.504,MI,Clinton County/Ingham County/Eaton County,Michigan,Midwest,42.71434,-84.55928,
17,SO - 0002504,2014-01-01,Colgate-Pa Group,Export,Product 27,11,1976.5,21741.5,790.6,PA,Allegheny County,Pennsylvania,Northeast,40.44062,-79.99589,
18,SO - 0009931,2014-01-01,sanofi-ave Group,Wholesale,Product 13,6,6525.8,39154.8,3589.1900000000005,AZ,Maricopa County,Arizona,West,33.37032,-112.58378,
19,SO - 0009346,2014-01-01,CLINIQUE Ltd,Wholesale,Product 13,7,1011.7,7081.900000000001,839.711,CA,Solano County,California,West,38.10409,-122.25664,
20,SO - 0002468,2014-01-01,Roberts Company,Wholesale,Product 5,8,1983.2,15865.6,1348.576,CA,Los Angeles County,California,West,34.02862,-117.81034,
21,SO - 0003850,2014-01-01,Epic Group,Wholesale,Product 13,6,2653.2000000000003,15919.2,1485.7920000000004,CA,Orange County,California,West,33.6603,-117.99923,
22,SO - 0006279,2014-01-01,SAFEWAY Ltd,Distributor,Product 4,7,3845.8,26920.600000000002,1538.3200000000002,FL,Polk County/Osceola County,Florida,South,28.11873,-81.47923,
